store_name,store_postal,product_name,persona,size_type,description,price_cad,unit,available,price_approximate,collection_date,needs_manual_review
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Chinese,bulk,"Foremost Large Size Eggs 18-Pack (sale $5.44; limit 1, reg $7.41)",5.44,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Green Onions,Chinese,small,"Green Onion 1 bunch (sale $0.77; limit 2, reg $1.79)",0.77,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Green Onions,Chinese,bulk,Green Onion individual bunches only (no 3-pack; 3x$1.79=$5.37 est.),5.37,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Sesame Oil,Chinese,small,Kadoya Pure Sesame Oil 327ml,6.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Sesame Oil,Chinese,bulk,Lee Kum Kee Pure Sesame Oil 443ml (no 1L available; largest size),8.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Pork Shoulder,Chinese,small,Pork Shoulder Blade Club Pack $16.51/kg sold by weight (~1kg),16.51,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Pork Shoulder,Chinese,bulk,Pork Shoulder Blade Roast $15.41/kg sold by weight (~2-3kg; Low Stock),15.41,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Napa Cabbage,Chinese,small,Chinese Napa Cabbage $4.39/kg sold by weight (approx 1 head),4.39,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Napa Cabbage,Chinese,bulk,Chinese Napa Cabbage $4.39/kg sold by weight (no bag; larger head),4.39,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Filipino,small,No Name Large Grade A Eggs 12ct,4.14,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Filipino,bulk,"Foremost Large Size Eggs 18-Pack (sale $5.44; limit 1, reg $7.41)",5.44,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Korean,small,No Name Large Grade A Eggs 12ct,4.14,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Korean,bulk,"Foremost Large Size Eggs 18-Pack (sale $5.44; limit 1, reg $7.41)",5.44,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,European,small,No Name Large Grade A Eggs 12ct,4.14,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,European,bulk,"Foremost Large Size Eggs 18-Pack (sale $5.44; limit 1, reg $7.41)",5.44,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Indigenous,small,No Name Large Grade A Eggs 12ct,4.14,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Indigenous,bulk,"Foremost Large Size Eggs 18-Pack (sale $5.44; limit 1, reg $7.41)",5.44,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Others,small,No Name Large Grade A Eggs 12ct,4.14,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggs Large,Others,bulk,"Foremost Large Size Eggs 18-Pack (sale $5.44; limit 1, reg $7.41)",5.44,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Sesame Oil,Korean,small,Kadoya Pure Sesame Oil 327ml,6.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Sesame Oil,Korean,bulk,Lee Kum Kee Pure Sesame Oil 443ml (no 1L available; largest size),8.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,European,small,Dairyland 3.25% Milk 1L,3.04,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,European,bulk,Dairyland 3.25% Milk 4L,6.11,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,Indigenous,small,Dairyland 3.25% Milk 1L,3.04,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,Indigenous,bulk,Dairyland 3.25% Milk 4L,6.11,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,Others,small,Dairyland 3.25% Milk 1L,3.04,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,Others,bulk,Dairyland 3.25% Milk 4L,6.11,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Yellow Onions,Filipino,small,Farmer's Market Yellow Onions 3lb bag (1.36kg; sale $2.94 limit 2),2.94,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Yellow Onions,Filipino,bulk,Farmer's Market Yellow Onions 10lb bag (4.54kg),9.5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Garlic,Filipino,small,Colossal Fresh Garlic - Out of Stock,,each,FALSE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Garlic,Filipino,bulk,Garlic Bulbs 1kg,6,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Canola Oil,Filipino,small,No Name 100% Pure Canola Oil 946ml,5.5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Canola Oil,Filipino,bulk,"No Name 100% Pure Canola Oil 3L (sale $7.37; limit 2, after $8.79)",7.37,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Canola Oil,Others,small,No Name 100% Pure Canola Oil 946ml,5.5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Canola Oil,Others,bulk,"No Name 100% Pure Canola Oil 3L (sale $7.37; limit 2, after $8.79)",7.37,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,White Rice,Filipino,small,No Name Long Grain White Rice 2kg,5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,White Rice,Filipino,bulk,Rooster Extra Fancy Long Grain Rice 8kg (no 10kg available),17,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Frozen Tilapia,Filipino,small,Seaquest Tilapia Fillets 400g,8.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Frozen Tilapia,Filipino,bulk,Seaquest Tilapia Fillets Club Size 1kg,18.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Coconut Milk,Filipino,small,Aroy-D Coconut Milk 400ml canned,2.49,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Coconut Milk,Filipino,bulk,Aroy-D Coconut Milk 400ml x3 (no 6-pack; 3x$2.49=$7.47 est.),7.47,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Fish Sauce,Filipino,small,Cock Brand Fish Sauce 200ml (sale $1.50 limit 4; reg $1.99),1.5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Fish Sauce,Filipino,bulk,Squid Brand Fish Sauce 725ml,3.49,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Pork Belly,Filipino,small,Pork Belly $13.21/kg sold by weight (~1kg),13.21,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Pork Belly,Filipino,bulk,Pork Belly $13.21/kg sold by weight (~3kg),13.21,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggplant,Filipino,small,Purple Eggplants $4.39/kg sold by weight (on sale; ~500g),4.39,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Eggplant,Filipino,bulk,Long Eggplants $5.45/kg sold by weight (~2kg),5.45,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Cane Vinegar,Filipino,small,Datu Puti White Vinegar 1L (no 385ml; 1L is smallest available),2.79,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Cane Vinegar,Filipino,bulk,Datu Puti White Vinegar 1L (no larger size; same product),2.79,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Short Grain Rice,Korean,small,No Name Medium Grain Calrose Rice 2kg,8.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Short Grain Rice,Korean,bulk,Diamond G Calrose Rice 6.8kg (no 9kg available; closest size),17.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Kimchi,Korean,small,Rooster Kimchi 1kg,11,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Kimchi,Korean,bulk,Rooster Kimchi 1kg x5 (no 5kg available; 5x$11.00 est.),55,each,TRUE,TRUE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Gochujang,Korean,small,O Food Hot Pepper Paste (Gochujang) 500g,5.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Gochujang,Korean,bulk,O Food Hot Pepper Paste 500g x2 (no 1kg; 2x$5.99 est.),11.98,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Bean Sprouts,Korean,small,Bean Sprouts 340g,2.5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Bean Sprouts,Korean,bulk,Bean Sprouts 340g x3 (no 1kg bag; 3x$2.50 est.),7.5,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Ground Beef,Korean,small,Butcher's Choice Lean Ground Beef 0.45kg,9,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Ground Beef,Korean,bulk,Lean Ground Beef $15.41/kg sold by weight (~2kg),15.41,per_kg,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Dried Seaweed Nori,Korean,small,T&T Korean Roasted Seaweed Laver 15g (plus tax; closest to 20g),1.79,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Dried Seaweed Nori,Korean,bulk,Jayone Seasoned & Roasted Seaweed 120g (sale $9.99 limit 4; reg $11.99; plus tax),9.99,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Silken Tofu,Korean,small,Rooster Silken Tofu 454g,2.89,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Silken Tofu,Korean,bulk,Rooster Silken Tofu 454g x2 (no 2-pack; 2x$2.89 est.),5.78,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Frozen Mackerel,Korean,small,Chub Mackerel 1kg (sale $7.00 reg $8.00; no 300g available),7,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Frozen Mackerel,Korean,bulk,Chub Mackerel 1kg (sale $7.00; same pack; no larger size),7,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Wheat Bread,European,small,Wonder Whole Wheat Bread 570g,3,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Wheat Bread,European,bulk,Wonder Whole Wheat Bread 570g x2 (no 2-loaf pack; 2x$3.00 est.),6,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Cheddar Cheese,European,small,Black Diamond Medium Cheddar Cheese Bar 400g (sale $5.49 limit 4; reg $6.49),5.49,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Cheddar Cheese,European,bulk,No Name Old Cheddar Cheese 700g (no 1kg block; closest size),8.79,each,TRUE,FALSE,2026-05-11,FALSE
